Artist,Title,Date,Period,Description,Material,Dimensions,Collection,Classification,Signature,Accession Number,link,Alternative Title,Place Made,Subject
Unknown,Unknown,Circa 1890,1890s,Studies of medieval clothing and ornate lettering,graphite (mineral)/inorganic material/materials (substances),13cm (W) x 18cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3390,https://collections.ed.ac.uk/art/record/50464?highlight=*:*,NA,Paris; Europe; France; Western Europe,NA
Unknown,Unknown,Circa 1890,1890s,Studies of a fish from various angles,graphite (mineral)/inorganic material/materials (substances),18cm (W) x 13cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3387,https://collections.ed.ac.uk/art/record/50461?highlight=*:*,NA,Paris; Europe; France; Western Europe,NA
Unknown,Brick coloured woven fragment,NA,NA,NA,NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5574,https://collections.ed.ac.uk/art/record/102701?highlight=*:*,NA,NA,NA
Unknown,Untitled,1983,20th century; 1980s,Silhouette of a person with German writing behind,NA,57cm H x 76.4cm W,Art Collection; Edinburgh College of Art,NA,Artist signature unclear. Looks like first name is Claudia.,EU2714,https://collections.ed.ac.uk/art/record/21837?highlight=*:*,NA,NA,NA
Unknown,Trafalgar Square,1963,20th century; 1960s,Drawing of Trafalgar Square. Part of artist's 1963 diploma work.,NA,25.5cm H x 38.2cm W,Art Collection; Edinburgh College of Art,drawings (visual works),Unknown signature looks like Spowart,EU2648,https://collections.ed.ac.uk/art/record/21773?highlight=*:*,NA,NA,NA
Unknown,Grumpy Hansel (1:2),Unknown,NA,Print of a man holding an open computer window displaying a portrait of himself,NA,95.7cm (H) x 64.1cm (W),Art Collection; Edinburgh College of Art,prints (visual works); screen prints,NA,EU2699,https://collections.ed.ac.uk/art/record/21823?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Volcano erupting.,NA,79.3cm (H) x 52cm (W),Art Collection; Edinburgh College of Art,prints (visual works),NA,EU2696,https://collections.ed.ac.uk/art/record/21820?highlight=*:*,NA,NA,NA
Unknown,Unknown,Unknown,NA,Brass rubbing of a Nun,NA,65cm W x 84cm H framed,Art Collection; Edinburgh College of Art,prints (visual works),NA,EU2558,https://collections.ed.ac.uk/art/record/21683?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,"Profile of a man, charcoal on paper. Reverse has a sketch of a flower and the number 3.",charcoal (material)/plant material/materials (substances),50cm H x 42.5cm W (with mount) 36.1cm H x 31.5cm W (without mount),Art Collection; Edinburgh College of Art,drawings (visual works); charcoal drawings,no signature,EU2586,https://collections.ed.ac.uk/art/record/21711?highlight=*:*,NA,NA,NA
Unknown,Unknown,NA,20th century,Composition featuring different types of bird placed within a glass enclosure. Peacock with large plumage takes up most of the right of the work. Balcony with iron railing visible at top - potentially National Museum of Scotland.,graphite (mineral)/inorganic material/materials (substances); watercolour (paint)/paint (coating); mixed media/materials (substances); paper (fibre product),76.2cm (W) x 56cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings; watercolours (paintings),NA,EU3603,https://collections.ed.ac.uk/art/record/53512?highlight=*:*,NA,NA,NA
Unknown,Notes for Final Composition,23 Sep 1985,1980s; 20th century,Landscape of urban high street with shops to right of composition. Figures are presented walking along the street - two are carrying shopping and another is up a ladder.,graphite (mineral)/inorganic material/materials (substances); ink/coating (material)/materials (substances),42.3cm (W) x 29.7cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings; ink,NA,EU3630,https://collections.ed.ac.uk/art/record/53539?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,"Blue bodice on peach background. Has been printed on a flexible, transparent plastic.",NA,70cm h x 100cm W,Art Collection; Edinburgh College of Art,NA,Signature unclear,EU2733,https://collections.ed.ac.uk/art/record/21856?highlight=*:*,NA,NA,NA
Unknown,Unknown,Unknown,NA,Portrait of a woman,NA,71.7cm H x 65cm W,Art Collection; Edinburgh College of Art,NA,artist signature Patrick ______?,EU2736,https://collections.ed.ac.uk/art/record/21859?highlight=*:*,NA,NA,NA
Unknown,Thanks for Help and Support,Jun 2002,21st century; 2000s,Depicts a scene form George Orwell's 'Animal Farm',NA,76cm H x 57cm W,Art Collection; Edinburgh College of Art,NA,Artists signature Sabine? Leihner?,EU2755,https://collections.ed.ac.uk/art/record/21878?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,"A human skeleton hanging from a chain, with literary extracts down the side",NA,100cm H x 70cm W,Art Collection; Edinburgh College of Art,NA,NA,EU2751,https://collections.ed.ac.uk/art/record/21874?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Poster listing the names of those participating within the Boston and Edinburgh print exchange of 2006,Print,NA,Art Collection; Edinburgh College of Art,prints (visual works),No signature,EU5085,https://collections.ed.ac.uk/art/record/99858?highlight=*:*,NA,NA,NA
Unknown,Grey Cover,NA,NA,NA,paper (fibre product); oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works); Abstract (fine arts style),NA,EU3188,https://collections.ed.ac.uk/art/record/22633?highlight=*:*,NA,NA,NA
Unknown,Abstract in Yellow and Black,1991,20th century; 1990s,NA,ink/coating (material)/materials (substances); acrylic paint/paint (coating); plastic (organic material)/organic material/materials (substances),NA,Art Collection; Edinburgh College of Art,mixed media works; Abstract (fine arts style),NA,EU3185,https://collections.ed.ac.uk/art/record/22630?highlight=*:*,NA,NA,NA
Unknown,Male Nude Leaning on a Table (verso),NA,NA,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3205,https://collections.ed.ac.uk/art/record/22650?highlight=*:*,NA,NA,NA
Unknown,Herrings,NA,NA,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3225,https://collections.ed.ac.uk/art/record/22670?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Black and white embossed abstract print,NA,54.5cm H x 72cm H,Art Collection; Edinburgh College of Art,prints (visual works),No signature,EU2426,https://collections.ed.ac.uk/art/record/21551?highlight=*:*,NA,NA,NA
Unknown,Unknown,Unknown,NA,Boat,NA,28.5cm H x 44.5cm W,Art Collection; Edinburgh College of Art,prints (visual works),NA,EU2424,https://collections.ed.ac.uk/art/record/21550?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Abstract print,NA,22cm H x 18.3cm W,Art Collection; Edinburgh College of Art,engravings (prints); prints (visual works),NA,EU2439,https://collections.ed.ac.uk/art/record/21564?highlight=*:*,NA,NA,NA
Unknown,Untitled,NA,NA,"Panel, cream background, stained and mended, with embroidered floral design and border on three sides, in pale green, dark blue, yellow, beige and off-white thread. Panel sewn onto striped backing cloth.",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5526,https://collections.ed.ac.uk/art/record/102671?highlight=*:*,NA,NA,NA
Unknown,Ayrshire christening robe,1800-1899,19th century,Ayrshire Christening robe with typical decoration consisting of delicately embroidered sprays of flowers and leaves. Notice the fine needle lace filling and the drawn thread fillings. This example is probably mid 19th century. Great Britain.,NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5540,https://collections.ed.ac.uk/art/record/102680?highlight=*:*,NA,Europe; Great Britain; United Kingdom,NA
Unknown,19th century handkerchief,1800-1899,19th century,"Lady’s handkerchief of fine white lawn, embroidered with white. Stitches used include padded Satin, Seeding, Tailing and Lace Stitch Fillings. The design of formalized leaves and flowers is typical of the late 19th Century. Notice the elaborately decorated initials in one corner.",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5549,https://collections.ed.ac.uk/art/record/102683?highlight=*:*,NA,Europe; Great Britain; United Kingdom,NA
Unknown,Coupar,NA,20th century,Pink and white flowers on grass in the foreground with trees and a large building behind,paint (coating),53cm (W) x 78cm (H),Art Collection; Edinburgh College of Art,paintings (visual works),NA,EU3335,https://collections.ed.ac.uk/art/record/50409?highlight=*:*,NA,NA,NA
Unknown,Unknown,NA,20th century,"Still life with leather glove, yellow cylinder and book entitled 'Six fairytales from the Brothers Grimm with David Hockney'",watercolour (paint)/paint (coating),29cm (W) x 8.5cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); watercolours (paintings),NA,EU3332,https://collections.ed.ac.uk/art/record/50406?highlight=*:*,NA,NA,NA
Unknown,Unknown,NA,20th century,Nude male figure leaning against a wall with arms crossed,charcoal (material)/plant material/materials (substances),31cm (W) x 63cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); charcoal drawings,NA,EU3376,https://collections.ed.ac.uk/art/record/50450?highlight=*:*,NA,NA,NA
Unknown,Unknown,Circa 1890,1890s,"Studies of costume - footwear, headwear and shoulder belt",graphite (mineral)/inorganic material/materials (substances),14cm (W) x 22cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3388,https://collections.ed.ac.uk/art/record/50462?highlight=*:*,NA,Paris; Europe; France; Western Europe,NA
Unknown,Dorothy Allsop sampler,1936,1930s; 20th century,"Embroidered and applique panel in grey, green and white on off-white and checked panel, in silver card Frame.",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5569,https://collections.ed.ac.uk/art/record/102697?highlight=*:*,NA,NA,NA
Unknown,Chinese sleeveband. waves,NA,NA,"Sleeve band from a Mandarin’s coat. The design, depicting waves of the seas, is worked in yellow silk in tones of blue and in white. Satin Stitch is used throughout. China. [No NDS label]",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5578,https://collections.ed.ac.uk/art/record/102703?highlight=*:*,NA,Asia; China,NA
Unknown,Arizona,Unknown,NA,Black cactus with blue and peach blending background. Reverse of print has same cactus prnted.,NA,39cm H x 46cm W,Art Collection; Edinburgh College of Art,prints (visual works),NA,EU2689,https://collections.ed.ac.uk/art/record/21813?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,"The foreground is a trio of miners underground, while the background is made up of a newspaper cutting.",NA,90cm (H) x 64cm (W),Art Collection; Edinburgh College of Art,prints (visual works); screen prints,NA,EU2697,https://collections.ed.ac.uk/art/record/21821?highlight=*:*,NA,NA,NA
Unknown,Unknown,Unknown,NA,"Portrait of an abstract figure holding a pink watermelon, framed",NA,72cm W x 83cm H framed,Art Collection; Edinburgh College of Art,prints (visual works); lithographs,NA,EU2550,https://collections.ed.ac.uk/art/record/21675?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Abstract landscape,NA,60.3cm H x 83.9cm W,Art Collection; Edinburgh College of Art,prints (visual works),No signature.,EU2502,https://collections.ed.ac.uk/art/record/21627?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Oil pastel and paint on paper.,Oil pastel; paint (coating),67.7cm H x 38.6cm W (with mount) 50.4 cm H x 27.4cm W (without mount),Art Collection; Edinburgh College of Art,drawings (visual works),no signature,EU2585,https://collections.ed.ac.uk/art/record/21710?highlight=*:*,NA,NA,NA
Unknown,untitled,Unknown,NA,Black ink print of a horse race scene.,NA,70.5cm H x 83cm W,Art Collection; Edinburgh College of Art,NA,NA,EU2772,https://collections.ed.ac.uk/art/record/21895?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,NA,NA,55cm H x 82.5cm W,Art Collection; Edinburgh College of Art,NA,NA,EU2794,https://collections.ed.ac.uk/art/record/21917?highlight=*:*,NA,NA,NA
Unknown,Unknown,NA,20th century,Full length three-quarter view portrait of standing male nude figure with stylised face. Right arm raised with hand reaching over the top of head and left leg slightly bent.,graphite (mineral)/inorganic material/materials (substances),21.1cm (W) x 55.7cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3602,https://collections.ed.ac.uk/art/record/53511?highlight=*:*,NA,NA,NA
Unknown,Unknown,Unknown,NA,Portrait of a woman,NA,72.9cm H x 68.4cm W,Art Collection; Edinburgh College of Art,NA,Signature unknown,EU2743,https://collections.ed.ac.uk/art/record/21866?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Abstract three colour lithograph,NA,59cm H x 76.5cm W,Art Collection; Edinburgh College of Art,NA,NA,EU2738,https://collections.ed.ac.uk/art/record/21861?highlight=*:*,NA,NA,NA
Unknown,Unknown,NA,20th century,"Preparatory drawing with notes for final composition. Facade of building presented surrounded by shadow. Square facade with eight windows and a doorway, all with elaborate sills and awnings. Two lamposts and a smaller building stand at the left of the composition.",ink/coating (material)/materials (substances),39.9cm (W) x 28.3cm (H),Art Collection; Edinburgh College of Art,ink,NA,EU3629,https://collections.ed.ac.uk/art/record/53538?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,View from a window of a garden,NA,64.5cm H x 95.3cm W,Art Collection; Edinburgh College of Art,NA,NA,EU2768,https://collections.ed.ac.uk/art/record/21891?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Abstract print,NA,26.7cm H x 29.1cm W (with mount) 20.5cm H x 23.4cm W (without mount),Art Collection; Edinburgh College of Art,prints (visual works); engravings (prints),NA,EU2442,https://collections.ed.ac.uk/art/record/21567?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Abstract landscape,NA,28cm H x 21.4cm W,Art Collection; Edinburgh College of Art,prints (visual works),No signature,EU2440,https://collections.ed.ac.uk/art/record/21565?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,"The top section depicts industrial manufacture, the bottom half is a series of war-heads.",NA,57cm H x 53cm W,Art Collection; Edinburgh College of Art,prints (visual works),No signature or date,EU2461,https://collections.ed.ac.uk/art/record/21586?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Landscape,NA,53cm H x 63.9cm W,Art Collection; Edinburgh College of Art,prints (visual works),No signature,EU2495,https://collections.ed.ac.uk/art/record/21620?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Portrait of a man.,NA,48.9cm H x 55.4cm W,Art Collection; Edinburgh College of Art,prints (visual works),No signature,EU2492,https://collections.ed.ac.uk/art/record/21617?highlight=*:*,NA,NA,NA
Unknown,Italian quilting in frame,NA,NA,Framed and glazed panel featuring quilted embroidered design of cockerel with flowers and border in pastel pink yellow and green on cream background.,NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5521,https://collections.ed.ac.uk/art/record/102666?highlight=*:*,NA,NA,NA
Unknown,Queen Anne apron,1700-1799,18th century,"Silk apron – Queen Anne period. The floral design is embroidered with metal thread, showing an interesting variety of Couched and laid Work (from the Jacoby Collection).",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5550,https://collections.ed.ac.uk/art/record/102684?highlight=*:*,NA,Europe; Great Britain; United Kingdom,NA
Unknown,Fine lawn collar,1820,1820s; 19th century,"Six examples of needle lace worked on net and lawn. These include specimens form Ayrshire, Limerick and Carrickmacross. Great Britain/Ireland",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5545,https://collections.ed.ac.uk/art/record/102681?highlight=*:*,NA,NA,NA
Unknown,Unknown,NA,20th century,Study of male head with glasses,ink/coating (material)/materials (substances),59cm (W) x 84cm (H),Art Collection; Edinburgh College of Art,ink,NA,EU3323,https://collections.ed.ac.uk/art/record/50397?highlight=*:*,NA,NA,NA
Unknown,Unknown,Circa 1890,1890s,Female figure with long red hair and golden dress holding books,graphite (mineral)/inorganic material/materials (substances); watercolour (paint)/paint (coating),12cm (W) x 32cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings; watercolours (paintings),NA,EU3389,https://collections.ed.ac.uk/art/record/50463?highlight=*:*,NA,Paris; Europe; France; Western Europe,NA
Unknown,Mexican needleweaving.donkeys,1951,1950s; 20th century,"Strip of cotton fabric showing a decorative band of donkey and bird motifs worked in blue mercerised thread in pattern darning. From Toluca, State of Mexico, 1951.",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5561,https://collections.ed.ac.uk/art/record/102691?highlight=*:*,NA,North America; Mexico,NA
Unknown,Victorian collar,1956,1950s; 20th century,A Victorian muslin collar with a tiny motif of padded Satin Stitch and Eyelet Holes forming a repeating design round the border. The edge is neatened with small Buttonholed points,NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5572,https://collections.ed.ac.uk/art/record/102699?highlight=*:*,NA,Europe; Great Britain; United Kingdom,NA
Unknown,Untitled,NA,NA,"Six examples of needle lace worked on net and lawn. These include specimens form Ayrshire, Limerick and Carrickmacross. Great Britain/Ireland",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5632,https://collections.ed.ac.uk/art/record/102727?highlight=*:*,NA,Europe; Great Britain; United Kingdom,NA
Unknown,Untitled,NA,NA,"Six examples of needle lace worked on net and lawn. These include specimens form Ayrshire, Limerick and Carrickmacross. Great Britain/Ireland",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5631,https://collections.ed.ac.uk/art/record/102726?highlight=*:*,NA,Europe; Great Britain; United Kingdom,NA
Unknown,Drawn from Nature,Unknown,NA,"Print poster for 'Drawn from Nature: An exhibition of drawings, paintings and prints of Botanical forms' held at Inverleith house",NA,63.3cm H x 45cm W,Art Collection; Edinburgh College of Art,NA,NA,EU2724,https://collections.ed.ac.uk/art/record/21847?highlight=*:*,NA,NA,NA
Unknown,Unknown,NA,20th century,"Three-quarter portrait of seated female figure with long, loose hair and high necked jumper. Sitting towards the right of the composition and looking up into the upper right.",charcoal (material)/plant material/materials (substances),51.7cm (W) x 80.4cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); charcoal drawings,NA,EU3653,https://collections.ed.ac.uk/art/record/53562?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Abstract screenprint of birds,NA,58.5cm H x 82.2cm W,Art Collection; Edinburgh College of Art,NA,NA,EU2758,https://collections.ed.ac.uk/art/record/21881?highlight=*:*,NA,NA,NA
Unknown,Unknown,NA,20th century,"Semi-abstracted structure in red, black, and white on newsprint.",mixed media/materials (substances); newsprint/paper (fibre product); paint (coating),46cm (W) x 55.7cm (H),Art Collection; Edinburgh College of Art,mixed media works; paintings (visual works),NA,EU3643,https://collections.ed.ac.uk/art/record/53552?highlight=*:*,NA,NA,NA
Unknown,Unknown,NA,20th century,"Profile portrait of seated figure - possibly clown. Figure is wearing a black hat, white shirt and black trousers, and is leaning with both hands on a cane facing the left of the composition. Blue, white and pink pencil have been applied to the figure's face.",graphite (mineral)/inorganic material/materials (substances); Pen and Wash/Drawing,34cm (W) x 52.2cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings; pen and wash drawings,NA,EU3642,https://collections.ed.ac.uk/art/record/53551?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Abstract etching,NA,79.7 cm x 57 cm,Art Collection; Edinburgh College of Art,NA,No signature,EU2823,https://collections.ed.ac.uk/art/record/21946?highlight=*:*,NA,NA,NA
Unknown,Untitled,NA,NA,List of students and faculty participating in the 2006 Edinburgh-Boston print exchange.,Print,NA,Art Collection; Edinburgh College of Art,screen prints,No signature,EU5088,https://collections.ed.ac.uk/art/record/99861?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,"Multi-layered screenprint of a figure in distress, being pulled across the scene by a horse with a rope bound around his neck.",Print,NA,Art Collection; Edinburgh College of Art,screen prints,No signature or marks,EU5132,https://collections.ed.ac.uk/art/record/99905?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,"Inkjet print on paper, photograph of an abandoned room, focus on wallpaper/painting on wallpaper.",Inkjet/Print,NA,Art Collection; Edinburgh College of Art,prints (visual works),NA,EU5148,https://collections.ed.ac.uk/art/record/99921?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Digital print of a film photograph.,Print,NA,Art Collection; Edinburgh College of Art,prints (visual works),NA,EU5141,https://collections.ed.ac.uk/art/record/99914?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,"Inkjet print on paper, photograph of an abandoned room, showing wallpaper/painting on wallpaper hanging next to a doorframe.",Print; Inkjet/Print,NA,Art Collection; Edinburgh College of Art,prints (visual works),NA,EU5147,https://collections.ed.ac.uk/art/record/99920?highlight=*:*,NA,NA,NA
Unknown,Green Square Abstract,NA,NA,NA,Wax; oil paint (paint)/paint (coating); canvas board/cardboard/paper (fibre product),NA,Art Collection; Edinburgh College of Art,Abstract (fine arts style),NA,EU3180,https://collections.ed.ac.uk/art/record/22625?highlight=*:*,NA,NA,NA
Unknown,Orange,1985,20th century; 1980s,Abstract still life,NA,90cm H x 64cm W,Art Collection; Edinburgh College of Art,prints (visual works),Signature,EU2464,https://collections.ed.ac.uk/art/record/21589?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Abstract engraving,NA,42.5cm H x 44.9cm W,Art Collection; Edinburgh College of Art,prints (visual works); engravings (prints),NA,EU2473,https://collections.ed.ac.uk/art/record/21598?highlight=*:*,NA,NA,NA
Unknown,Garden of Eden,1987,20th century; 1980s,Abstract figure,NA,102cm H x 76.5cm W,Art Collection; Edinburgh College of Art,prints (visual works),Signature,EU2483,https://collections.ed.ac.uk/art/record/21608?highlight=*:*,NA,NA,NA
Unknown,Untitled,Unknown,NA,Landscape,NA,45.3cm H x 77cm W,Art Collection; Edinburgh College of Art,prints (visual works),No signature,EU2485,https://collections.ed.ac.uk/art/record/21610?highlight=*:*,NA,NA,NA
Unknown,Smocking diagrams and samples,NA,NA,"Two samplers showing specimens of smocking stitches and pattern shirring in pink, blue and mauve thread on beige and off white fabric. Samplers sewn onto linen backing on card, with text panels and photograph",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5522,https://collections.ed.ac.uk/art/record/102667?highlight=*:*,NA,NA,NA
Unknown,Babies constructed bonnet,1890-1900,1890s; 19th century,"Bonnet? Cream lace, circular design woven out from central 8 petal motif, frilled edge to top half, two cotton tape fastenings",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5527,https://collections.ed.ac.uk/art/record/102672?highlight=*:*,NA,NA,NA
Unknown,Unknown,NA,20th century,Figure in pink dress with silver stars and cactus on blue background,acrylic paint/paint (coating); pastels (crayons)/crayons (drawing material),59cm (W) x 83.5cm (H),Art Collection; Edinburgh College of Art,pastel; acrylic; paintings (visual works); mixed media works; drawings (visual works),NA,EU3306,https://collections.ed.ac.uk/art/record/50380?highlight=*:*,NA,NA,NA
Unknown,Untitled,NA,NA,"Panel – part of a garment. On pale gold cultured stain is embroidered a typical bird and flower group in floss silks. A strip of brocade is applied round the edges. Long and short stitch Satin Stitch, Chinese Knot Stitch and Laid work are used for the embroidery.",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5565,https://collections.ed.ac.uk/art/record/102695?highlight=*:*,NA,Asia; China,NA
Unknown,Smocking diagrams,NA,NA,NA,NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5588,https://collections.ed.ac.uk/art/record/102710?highlight=*:*,NA,NA,NA
Unknown,Whitework on indian muslin,1800-1849,19th century,"Piece of embroidered Indian muslin with floral borders in Satin and Overcast stitches. The effect is graceful and delicate and very typical of the work used for dresses, petticoat flounces and aprons in the early 19th century.",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5581,https://collections.ed.ac.uk/art/record/102705?highlight=*:*,NA,Europe; Great Britain; United Kingdom,NA
Unknown,Hyde Park,NA,20th century,Depiction of the gardens of Hyde Park. Road cutting through trees with two men riding horses on it.,gouache (paint)/watercolour (paint)/paint (coating); ink/coating (material)/materials (substances),55.5cm (W) x 38.5cm (H),Art Collection; Edinburgh College of Art,paintings (visual works),NA,EU3402,https://collections.ed.ac.uk/art/record/50476?highlight=*:*,NA,NA,NA
Unknown,Pekin knot sample,NA,NA,"Embroidered border design on plum coloured silk edged with cream silk. Chinese knot stitch, Satin stitch and couched gold thread is used for the embroidery which is in red, pink, blue, green and yellow silk. Typical animal, bird, flower and vase motifs form the decoration. Notice particularly the ‘phoenix’ and the ‘unicorn’. China.",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5635,https://collections.ed.ac.uk/art/record/102730?highlight=*:*,NA,Asia; China,NA
Unknown,Untitled,Unknown,NA,"Cross section of a house with different trades people working on each room with their title enscribed underneath. 'Roofers,' 'Masons,' 'Joiners,' Brickies,' 'Labourers,' and 'Heating Engineers.'",NA,34.2cm H x 49cm W,Art Collection; Edinburgh College of Art,NA,"Unknown Artist possibly the same as EU2503, EU2732 and EU2756",EU2715,https://collections.ed.ac.uk/art/record/21838?highlight=*:*,NA,NA,NA
Unknown,Untitled,1987,20th century; 1980s,Print made for the 1987 Edinburgh College of Art degree exhibitions. Abstract of a lake with mountains in the distance.,Print,90.3cm (H) x 64cm (W),Art Collection; Edinburgh College of Art,prints (visual works),NA,EU2690,https://collections.ed.ac.uk/art/record/21814?highlight=*:*,NA,NA,NA
Unknown,Unknown,NA,20th century,"Full length portrait of seated female nude. Resting weight on right side and looking towards left side of composition. Left arm holding leg, and right arm resting on unseen ledge. Shoulder-length hair and bracelet or watch on left wrist.",graphite (mineral)/inorganic material/materials (substances),36.3cm (W) 39.6cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3596,https://collections.ed.ac.uk/art/record/53505?highlight=*:*,NA,NA,NA
Unknown,Untitled,1997,20th century; 1990s,Abstract print,NA,76.5cm H x 57.5cm W,Art Collection; Edinburgh College of Art,NA,Artists signature,EU2787,https://collections.ed.ac.uk/art/record/21910?highlight=*:*,NA,NA,NA
Unknown,Unknown,Unknown,NA,Abstract lithograph,NA,81cm H c 58cm W,Art Collection; Edinburgh College of Art,NA,NA,EU2781,https://collections.ed.ac.uk/art/record/21904?highlight=*:*,NA,NA,NA
Unknown,Unknown,NA,1940s; 20th century,Full length portrait of seated female nude figure. Facing the viewer with both arms leaning on unseen object to left of composition.,graphite (mineral)/inorganic material/materials (substances),32.2cm (W) x 45.2cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3601,https://collections.ed.ac.uk/art/record/53510?highlight=*:*,NA,NA,NA
Unknown ; Michael Lennox,Three Street Views,NA,NA,By an unknown former ECA student.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2049,https://collections.ed.ac.uk/art/record/21176?highlight=*:*,NA,NA,NA
Unknown,Vilnius Academy of Fine Arts,NA,2000s,"Poster showing the names of students and staff being represented in the four school print portfolio exchange, from Vilnius Academy of Fine Arts",Print; Inkjet/Print,NA,Art Collection; Edinburgh College of Art,prints (visual works); prints 2001- present,No signature,EU5080,https://collections.ed.ac.uk/art/record/99853?highlight=*:*,NA,NA,NA
Unknown,Self Portrait in White Apron,NA,NA,NA,oil paint (paint)/paint (coating); hardboard/wood board/plant material/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3155,https://collections.ed.ac.uk/art/record/22600?highlight=*:*,NA,NA,NA
Unknown,Portrait of Bearded Man with Bow Tie,NA,NA,NA,canvas (textile material)/textile materials/materials (substances); oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3166,https://collections.ed.ac.uk/art/record/22611?highlight=*:*,NA,NA,NA
Unknown,Thick Pale Green,NA,NA,NA,Oil on Hardboard/oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,Abstract (fine arts style),NA,EU3102,https://collections.ed.ac.uk/art/record/22547?highlight=*:*,NA,NA,NA
